episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-124.25354636062009,5,True,False,3,0.27330765
1,-267.9793889989548,40,False,False,31,0.25032204
2,-286.4316419254796,40,False,False,33,0.2690147
3,-194.00112420902772,14,True,False,11,0.30488348
4,-210.54999999999998,17,True,False,13,0.30806682
5,-150.90112420902773,8,True,False,6,0.30299163
6,-353.3805132079826,34,True,False,29,0.26475707
7,41.96919231898157,40,False,False,0,0.25029987
8,-197.6293890866154,40,False,False,24,0.25029987
9,-192.81444444444443,15,True,False,11,0.3098148
10,-212.85112420902772,15,True,False,13,0.30742887
11,-134.3511242090269,5,True,False,4,0.27534878
12,40.02061100104509,40,False,False,0,0.25032204
13,-125.30000000000001,4,True,False,3,0.2763626
14,-215.94999999999996,21,True,False,14,0.3056167
15,-140.80112420902773,8,True,False,5,0.31241217
16,-221.63333333333333,16,True,False,14,0.3111979
17,-307.8805172039041,40,False,False,35,0.2518669
18,40.02061100104509,40,False,False,0,0.25032204
19,42.02061100104507,40,False,False,0,0.25032204
